type_a,type_b,impact_a,impact_b,flow_after,joint_impact,synergy
JO-A3,HRN_VP5,21,14,10612,35,0
JO-A3,LB4b,21,14,10612,35,0
JO-A3,SNxx24,21,14,10612,35,0
JO-A3,ORN_VC5,21,14,10612,35,0
JO-A3,PhG4,21,14,10612,35,0
JO-A3,SNpp06,21,14,10612,35,0
JO-A3,BM_MaPa,21,14,10612,35,0
JO-A3,PhG14,21,14,10612,35,0
JO-A3,SNpp56,21,14,10612,35,0
JO-A3,JO-B2,21,14,10612,35,0
JO-A3,JO-B1_c,21,14,10612,35,0
SNpp23,ORN_DA3,30,5,10612,35,0
WG1,ORN_DL5,15,20,10612,35,0
WG1,WG2,15,20,10612,35,0
WG1,LgAG3,15,20,10612,35,0
WG1,PhG1b,15,20,10612,35,0
WG1,BM_vOcci_vPoOr,15,20,10612,35,0
WG1,LB1e,15,20,10612,35,0
WG1,SNxx30,15,20,10612,35,0
SNta14,LgLG7,28,7,10612,35,0
SNta14,DNg83,28,7,10612,35,0
SNta14,ORN_DL3,28,7,10612,35,0
SNta14,ORN_DM3,28,7,10612,35,0
LgLG2,TRN_VP1m,11,24,10612,35,0
LgLG2,SNpp02,11,24,10612,35,0
TRN_VP3a,ORN_VA1v,18,17,10612,35,0
TRN_VP3a,JO-A1,18,17,10612,35,0
TRN_VP3a,SNpp05,18,17,10612,35,0
TRN_VP3a,SNxx28,18,17,10612,35,0
TRN_VP3a,ORN_VM5v,18,17,10612,35,0
TRN_VP3a,SNpp31,18,17,10612,35,0
TRN_VP3a,SNpp17,18,17,10612,35,0
TRN_VP3a,SNpp01,18,17,10612,35,0
LB3d,HBeyelet,27,8,10612,35,0
LB3d,PhG1a,27,8,10612,35,0
SNxx02,HBeyelet,27,8,10612,35,0
SNxx02,PhG1a,27,8,10612,35,0
LgLG8,ORN_DM1,9,26,10612,35,0
LgLG8,SNpp10,9,26,10612,35,0
LgLG8,SApp01,9,26,10612,35,0
LB3c,HRN_VP1l,25,10,10612,35,0
LB3c,PhG6,25,10,10612,35,0
LB3c,LN-DN1,25,10,10612,35,0
LB3c,ORN_DM4,25,10,10612,35,0
LB3c,ORN_DM6,25,10,10612,35,0
LB3c,ORN_VA3,25,10,10612,35,0
ORN_VM6v,GNG654,21,14,10612,35,0
ORN_VM6v,HRN_VP5,21,14,10612,35,0
ORN_VM6v,LB4b,21,14,10612,35,0
ORN_VM6v,SNxx24,21,14,10612,35,0
ORN_VM6v,ORN_VC5,21,14,10612,35,0
ORN_VM6v,PhG4,21,14,10612,35,0
ORN_VM6v,SNpp06,21,14,10612,35,0
ORN_VM6v,BM_MaPa,21,14,10612,35,0
ORN_VM6v,PhG14,21,14,10612,35,0
ORN_VM6v,SNpp56,21,14,10612,35,0
ORN_VM6v,JO-B2,21,14,10612,35,0
ORN_VM6v,JO-B1_c,21,14,10612,35,0
ENS2,LgLG7,28,7,10612,35,0
ENS2,DNg83,28,7,10612,35,0
ENS2,ORN_DL3,28,7,10612,35,0
ENS2,ORN_DM3,28,7,10612,35,0
ORN_DP1l,LgLG7,28,7,10612,35,0
ORN_DP1l,DNg83,28,7,10612,35,0
ORN_DP1l,ORN_DL3,28,7,10612,35,0
ORN_DP1l,ORN_DM3,28,7,10612,35,0
LB3a,GNG642,19,16,10612,35,0
LB3a,ORN_V,19,16,10612,35,0
LB3a,PhG10,19,16,10612,35,0
LB3a,ORN_VL1,19,16,10612,35,0
LB3a,LgLG4,19,16,10612,35,0
LB3a,ORN_VM5d,19,16,10612,35,0
LB3a,SNpp11,19,16,10612,35,0
LB3a,ALBN1,19,16,10612,35,0
LB3a,ENS5,19,16,10612,35,0
LB3a,dorsal_tpGRN,19,16,10612,35,0
LB3a,JO-CA2,19,16,10612,35,0
TRN_VP1m,R8_unclear,24,11,10612,35,0
TRN_VP1m,LB1a,24,11,10612,35,0
TRN_VP1m,SNpp21,24,11,10612,35,0
TRN_VP1m,ORN_VM7v,24,11,10612,35,0
TRN_VP1m,ORN_DL1,24,11,10612,35,0
PhG9,ORN_DM2,22,13,10612,35,0
PhG9,DNg20,22,13,10612,35,0
PhG9,SNxx06,22,13,10612,35,0
PhG9,SNpp15,22,13,10612,35,0
PhG9,ORN_DA2,22,13,10612,35,0
PhG9,PhG16,22,13,10612,35,0
PhG9,SNpp18,22,13,10612,35,0
PhG9,LgAG8,22,13,10612,35,0
BM_Hau,HBeyelet,27,8,10612,35,0
BM_Hau,PhG1a,27,8,10612,35,0
JO-B4_b,HBeyelet,27,8,10612,35,0
JO-B4_b,PhG1a,27,8,10612,35,0
R8_unclear,SNpp02,11,24,10612,35,0
WG4,ENS3,23,12,10612,35,0
WG4,ORN_VM4,23,12,10612,35,0
WG4,ENS1,23,12,10612,35,0
WG4,PhG13,23,12,10612,35,0
WG4,ORN_DC2,23,12,10612,35,0
WG4,SNpp37,23,12,10612,35,0
WG4,ORN_VC4,23,12,10612,35,0
WG4,b2 MN,23,12,10612,35,0
ORN_DM1,LB4a,26,9,10612,35,0
ORN_DM1,PhG3,26,9,10612,35,0
ORN_DM1,SApp21,26,9,10612,35,0
ORN_DM1,LgAG6,26,9,10612,35,0
ORN_DM1,tpn MN,26,9,10612,35,0
ORN_DM1,JO-B4_a,26,9,10612,35,0
ORN_DC1,ORN_DM2,22,13,10612,35,0
ORN_DC1,DNg20,22,13,10612,35,0
ORN_DC1,SNxx06,22,13,10612,35,0
ORN_DC1,SNpp15,22,13,10612,35,0
ORN_DC1,ORN_DA2,22,13,10612,35,0
ORN_DC1,PhG16,22,13,10612,35,0
ORN_DC1,SNpp18,22,13,10612,35,0
ORN_DC1,LgAG8,22,13,10612,35,0
GNG642,SNpp35,16,19,10612,35,0
GNG642,LgAG5,16,19,10612,35,0
GNG642,LgAG7,16,19,10612,35,0
GNG642,ORN_DL2d,16,19,10612,35,0
GNG642,JO-B1_a,16,19,10612,35,0
GNG642,SNta13,16,19,10612,35,0
ORN_DM2,SNpp62,13,22,10612,35,0
ORN_DM2,SNpp58,13,22,10612,35,0
ORN_DM2,SNxx19,13,22,10612,35,0
ORN_DM2,SNxx21,13,22,10612,35,0
ORN_DM2,JO-B3,13,22,10612,35,0
SApp23,HBeyelet,27,8,10612,35,0
SApp23,PhG1a,27,8,10612,35,0
GNG654,SNxx17,14,21,10612,35,0
GNG654,ORN_DL2v,14,21,10612,35,0
TRN_VP2,ORN_VA1v,18,17,10612,35,0
TRN_VP2,JO-A1,18,17,10612,35,0
TRN_VP2,SNpp05,18,17,10612,35,0
TRN_VP2,SNxx28,18,17,10612,35,0
TRN_VP2,ORN_VM5v,18,17,10612,35,0
TRN_VP2,SNpp31,18,17,10612,35,0
TRN_VP2,SNpp17,18,17,10612,35,0
TRN_VP2,SNpp01,18,17,10612,35,0
aPhM2b,ORN_VA1v,18,17,10612,35,0
aPhM2b,JO-A1,18,17,10612,35,0
aPhM2b,SNpp05,18,17,10612,35,0
aPhM2b,SNxx28,18,17,10612,35,0
aPhM2b,ORN_VM5v,18,17,10612,35,0
aPhM2b,SNpp31,18,17,10612,35,0
aPhM2b,SNpp17,18,17,10612,35,0
aPhM2b,SNpp01,18,17,10612,35,0
JO-CL,ORN_DA3,30,5,10612,35,0
LgAG9,ORN_DL5,15,20,10612,35,0
LgAG9,WG2,15,20,10612,35,0
LgAG9,PhG1b,15,20,10612,35,0
LgAG9,BM_vOcci_vPoOr,15,20,10612,35,0
LgAG9,LB1e,15,20,10612,35,0
LgAG9,SNxx30,15,20,10612,35,0
ORN_VL2p,HBeyelet,27,8,10612,35,0
ORN_VL2p,PhG1a,27,8,10612,35,0
ORN_DL5,ORN_VA1d,20,15,10612,35,0
ORN_DL5,SNpp57,20,15,10612,35,0
ORN_DL5,LB1b,20,15,10612,35,0
ORN_DL5,SNpp12,20,15,10612,35,0
ORN_DL5,PhG8,20,15,10612,35,0
ENS3,ORN_D,12,23,10612,35,0
SNpp41,ORN_DA3,30,5,10612,35,0
SNpp35,ORN_V,19,16,10612,35,0
SNpp35,PhG10,19,16,10612,35,0
SNpp35,ORN_VL1,19,16,10612,35,0
SNpp35,LgLG4,19,16,10612,35,0
SNpp35,ORN_VM5d,19,16,10612,35,0
SNpp35,SNpp11,19,16,10612,35,0
SNpp35,ALBN1,19,16,10612,35,0
SNpp35,ENS5,19,16,10612,35,0
SNpp35,dorsal_tpGRN,19,16,10612,35,0
SNpp35,JO-CA2,19,16,10612,35,0
WG2,ORN_VA1d,20,15,10612,35,0
WG2,SNpp57,20,15,10612,35,0
WG2,LB1b,20,15,10612,35,0
WG2,SNpp12,20,15,10612,35,0
WG2,PhG8,20,15,10612,35,0
LgAG3,ORN_VA1d,20,15,10612,35,0
LgAG3,SNpp57,20,15,10612,35,0
LgAG3,SNpp12,20,15,10612,35,0
SNxx17,HRN_VP5,21,14,10612,35,0
SNxx17,LB4b,21,14,10612,35,0
SNxx17,SNxx24,21,14,10612,35,0
SNxx17,ORN_VC5,21,14,10612,35,0
SNxx17,PhG4,21,14,10612,35,0
SNxx17,SNpp06,21,14,10612,35,0
SNxx17,BM_MaPa,21,14,10612,35,0
SNxx17,PhG14,21,14,10612,35,0
SNxx17,SNpp56,21,14,10612,35,0
SNxx17,JO-B2,21,14,10612,35,0
SNxx17,JO-B1_c,21,14,10612,35,0
ORN_V,LgAG5,16,19,10612,35,0
ORN_V,LgAG7,16,19,10612,35,0
ORN_V,ORN_DL2d,16,19,10612,35,0
ORN_V,JO-B1_a,16,19,10612,35,0
ORN_V,SNta13,16,19,10612,35,0
ORN_VA1v,ORN_VC1,17,18,10612,35,0
ORN_VA1v,ORN_VM7d,17,18,10612,35,0
ORN_VA1v,LgAG2,17,18,10612,35,0
ORN_VA1v,DNx01,17,18,10612,35,0
JO-A1,ORN_VC1,17,18,10612,35,0
JO-A1,ORN_VM7d,17,18,10612,35,0
JO-A1,LgAG2,17,18,10612,35,0
JO-A1,DNx01,17,18,10612,35,0
SNxx26,HRN_VP1l,25,10,10612,35,0
SNxx26,PhG6,25,10,10612,35,0
SNxx26,LN-DN1,25,10,10612,35,0
SNxx26,ORN_DM4,25,10,10612,35,0
SNxx26,ORN_DM6,25,10,10612,35,0
SNxx26,ORN_VA3,25,10,10612,35,0
ORN_VA2,HRN_VP1l,25,10,10612,35,0
ORN_VA2,PhG6,25,10,10612,35,0
ORN_VA2,LN-DN1,25,10,10612,35,0
ORN_VA2,ORN_DM4,25,10,10612,35,0
ORN_VA2,ORN_DM6,25,10,10612,35,0
ORN_VA2,ORN_VA3,25,10,10612,35,0
LgAG5,PhG10,19,16,10612,35,0
LgAG5,ORN_VL1,19,16,10612,35,0
LgAG5,LgLG4,19,16,10612,35,0
LgAG5,ORN_VM5d,19,16,10612,35,0
LgAG5,SNpp11,19,16,10612,35,0
LgAG5,ALBN1,19,16,10612,35,0
LgAG5,dorsal_tpGRN,19,16,10612,35,0
LgAG5,JO-CA2,19,16,10612,35,0
SNpp10,LB4a,26,9,10612,35,0
SNpp10,PhG3,26,9,10612,35,0
SNpp10,SApp21,26,9,10612,35,0
SNpp10,LgAG6,26,9,10612,35,0
SNpp10,tpn MN,26,9,10612,35,0
SNpp10,JO-B4_a,26,9,10612,35,0
PhG1b,ORN_VA1d,20,15,10612,35,0
PhG1b,SNpp57,20,15,10612,35,0
PhG1b,LB1b,20,15,10612,35,0
PhG1b,SNpp12,20,15,10612,35,0
PhG1b,PhG8,20,15,10612,35,0
HRN_VP5,ORN_DL2v,14,21,10612,35,0
ORN_VA6,LgLG7,28,7,10612,35,0
ORN_VA6,DNg83,28,7,10612,35,0
ORN_VA6,ORN_DL3,28,7,10612,35,0
ORN_VA6,ORN_DM3,28,7,10612,35,0
SNpp62,DNg20,22,13,10612,35,0
SNpp62,SNxx06,22,13,10612,35,0
SNpp62,SNpp15,22,13,10612,35,0
SNpp62,ORN_DA2,22,13,10612,35,0
SNpp62,PhG16,22,13,10612,35,0
SNpp62,SNpp18,22,13,10612,35,0
SNpp62,LgAG8,22,13,10612,35,0
PhG10,LgAG7,16,19,10612,35,0
PhG10,ORN_DL2d,16,19,10612,35,0
PhG10,JO-B1_a,16,19,10612,35,0
PhG10,SNta13,16,19,10612,35,0
SApp01,LB4a,26,9,10612,35,0
SApp01,PhG3,26,9,10612,35,0
SApp01,SApp21,26,9,10612,35,0
SApp01,LgAG6,26,9,10612,35,0
SApp01,tpn MN,26,9,10612,35,0
SApp01,JO-B4_a,26,9,10612,35,0
LgAG7,ORN_VL1,19,16,10612,35,0
LgAG7,LgLG4,19,16,10612,35,0
LgAG7,ORN_VM5d,19,16,10612,35,0
LgAG7,SNpp11,19,16,10612,35,0
LgAG7,ALBN1,19,16,10612,35,0
LgAG7,ENS5,19,16,10612,35,0
LgAG7,JO-CA2,19,16,10612,35,0
ORN_DL2v,LB4b,21,14,10612,35,0
ORN_DL2v,SNxx24,21,14,10612,35,0
ORN_DL2v,ORN_VC5,21,14,10612,35,0
ORN_DL2v,PhG4,21,14,10612,35,0
ORN_DL2v,SNpp06,21,14,10612,35,0
ORN_DL2v,BM_MaPa,21,14,10612,35,0
ORN_DL2v,PhG14,21,14,10612,35,0
ORN_DL2v,SNpp56,21,14,10612,35,0
ORN_DL2v,JO-B2,21,14,10612,35,0
ORN_DL2v,JO-B1_c,21,14,10612,35,0
BM_vOcci_vPoOr,ORN_VA1d,20,15,10612,35,0
BM_vOcci_vPoOr,SNpp57,20,15,10612,35,0
BM_vOcci_vPoOr,LB1b,20,15,10612,35,0
BM_vOcci_vPoOr,SNpp12,20,15,10612,35,0
BM_vOcci_vPoOr,PhG8,20,15,10612,35,0
ORN_VC1,SNpp05,18,17,10612,35,0
ORN_VC1,SNxx28,18,17,10612,35,0
ORN_VC1,ORN_VM5v,18,17,10612,35,0
ORN_VC1,SNpp31,18,17,10612,35,0
ORN_VC1,SNpp17,18,17,10612,35,0
ORN_VC1,SNpp01,18,17,10612,35,0
LB1a,SNpp02,11,24,10612,35,0
DNg20,SNpp58,13,22,10612,35,0
DNg20,SNxx19,13,22,10612,35,0
DNg20,SNxx21,13,22,10612,35,0
DNg20,JO-B3,13,22,10612,35,0
ORN_VL1,ORN_DL2d,16,19,10612,35,0
ORN_VL1,JO-B1_a,16,19,10612,35,0
ORN_VL1,SNta13,16,19,10612,35,0
ORN_VM4,ORN_D,12,23,10612,35,0
ORN_DL2d,LgLG4,19,16,10612,35,0
ORN_DL2d,ORN_VM5d,19,16,10612,35,0
ORN_DL2d,SNpp11,19,16,10612,35,0
ORN_DL2d,ALBN1,19,16,10612,35,0
ORN_DL2d,ENS5,19,16,10612,35,0
ORN_DL2d,dorsal_tpGRN,19,16,10612,35,0
ORN_DL2d,JO-CA2,19,16,10612,35,0
R8d,SApp14,3,32,10612,35,0
R8d,SNpp07,3,32,10612,35,0
ORN_VM7d,SNpp05,18,17,10612,35,0
ORN_VM7d,SNxx28,18,17,10612,35,0
ORN_VM7d,ORN_VM5v,18,17,10612,35,0
ORN_VM7d,SNpp31,18,17,10612,35,0
ORN_VM7d,SNpp17,18,17,10612,35,0
ORN_VM7d,SNpp01,18,17,10612,35,0
ORN_D,ENS1,23,12,10612,35,0
ORN_D,PhG13,23,12,10612,35,0
ORN_D,ORN_DC2,23,12,10612,35,0
ORN_D,SNpp37,23,12,10612,35,0
ORN_D,ORN_VC4,23,12,10612,35,0
ORN_D,b2 MN,23,12,10612,35,0
LB1e,ORN_VA1d,20,15,10612,35,0
LB1e,SNpp57,20,15,10612,35,0
LB1e,LB1b,20,15,10612,35,0
LB1e,SNpp12,20,15,10612,35,0
LB1e,PhG8,20,15,10612,35,0
ORN_VA1d,SNxx30,15,20,10612,35,0
SNpp57,SNxx30,15,20,10612,35,0
ENS4,LgLG7,28,7,10612,35,0
ENS4,DNg83,28,7,10612,35,0
ENS4,ORN_DL3,28,7,10612,35,0
ENS4,ORN_DM3,28,7,10612,35,0
LgLG4,JO-B1_a,16,19,10612,35,0
LgLG4,SNta13,16,19,10612,35,0
HBeyelet,SNta33,8,27,10612,35,0
LB1b,SNxx30,15,20,10612,35,0
SNpp58,SNxx06,22,13,10612,35,0
SNpp58,SNpp15,22,13,10612,35,0
SNpp58,ORN_DA2,22,13,10612,35,0
SNpp58,PhG16,22,13,10612,35,0
SNpp58,SNpp18,22,13,10612,35,0
SNpp58,LgAG8,22,13,10612,35,0
LgLG7,SNta26,7,28,10612,35,0
SNxx30,SNpp12,20,15,10612,35,0
SNxx30,PhG8,20,15,10612,35,0
SNpp21,SNpp02,11,24,10612,35,0
ORN_VM7v,SNpp02,11,24,10612,35,0
ORN_VM5d,JO-B1_a,16,19,10612,35,0
ORN_VM5d,SNta13,16,19,10612,35,0
LgAG2,SNpp05,18,17,10612,35,0
LgAG2,SNxx28,18,17,10612,35,0
LgAG2,ORN_VM5v,18,17,10612,35,0
LgAG2,SNpp31,18,17,10612,35,0
LgAG2,SNpp17,18,17,10612,35,0
LgAG2,SNpp01,18,17,10612,35,0
SNxx19,SNxx06,22,13,10612,35,0
SNxx19,SNpp15,22,13,10612,35,0
SNxx19,ORN_DA2,22,13,10612,35,0
SNxx19,PhG16,22,13,10612,35,0
SNxx19,SNpp18,22,13,10612,35,0
SNxx19,LgAG8,22,13,10612,35,0
SNxx06,JO-B3,13,22,10612,35,0
JO-B1_a,SNpp11,19,16,10612,35,0
JO-B1_a,ALBN1,19,16,10612,35,0
JO-B1_a,ENS5,19,16,10612,35,0
JO-B1_a,dorsal_tpGRN,19,16,10612,35,0
JO-B1_a,JO-CA2,19,16,10612,35,0
SNxx21,SNpp15,22,13,10612,35,0
SNxx21,ORN_DA2,22,13,10612,35,0
SNxx21,PhG16,22,13,10612,35,0
SNxx21,SNpp18,22,13,10612,35,0
SNxx21,LgAG8,22,13,10612,35,0
DNg83,SNta26,7,28,10612,35,0
SNpp05,DNx01,17,18,10612,35,0
SNpp15,JO-B3,13,22,10612,35,0
ORN_DA2,JO-B3,13,22,10612,35,0
JO-B3,PhG16,22,13,10612,35,0
JO-B3,SNpp18,22,13,10612,35,0
JO-B3,LgAG8,22,13,10612,35,0
SNpp02,ORN_DL1,24,11,10612,35,0
SNxx28,DNx01,17,18,10612,35,0
ORN_VM5v,DNx01,17,18,10612,35,0
SNta13,SNpp11,19,16,10612,35,0
SNta13,ALBN1,19,16,10612,35,0
SNta13,ENS5,19,16,10612,35,0
SNta13,dorsal_tpGRN,19,16,10612,35,0
SNta13,JO-CA2,19,16,10612,35,0
SNpp31,DNx01,17,18,10612,35,0
ORN_DL3,SNta26,7,28,10612,35,0
SNta26,ORN_DM3,28,7,10612,35,0
SNta33,PhG1a,27,8,10612,35,0
DNx01,SNpp01,18,17,10612,35,0
SNxx08,GNG654,20,14,10613,34,0
SNxx08,HRN_VP5,20,14,10613,34,0
SNxx08,LB4b,20,14,10613,34,0
SNxx08,SNxx24,20,14,10613,34,0
SNxx08,ORN_VC5,20,14,10613,34,0
SNxx08,PhG4,20,14,10613,34,0
SNxx08,SNpp06,20,14,10613,34,0
SNxx08,BM_MaPa,20,14,10613,34,0
SNxx08,PhG14,20,14,10613,34,0
SNxx08,SNpp56,20,14,10613,34,0
SNxx08,JO-B2,20,14,10613,34,0
SNxx08,JO-B1_c,20,14,10613,34,0
R7_unclear,aPhM4,15,19,10613,34,0
R7_unclear,LB3a,15,19,10613,34,0
R7_unclear,SNpp35,15,19,10613,34,0
R7_unclear,LgAG5,15,19,10613,34,0
R7_unclear,LgAG7,15,19,10613,34,0
R7_unclear,ORN_DL2d,15,19,10613,34,0
R7_unclear,JO-B1_a,15,19,10613,34,0
R7_unclear,SNta13,15,19,10613,34,0
aPhM5,ORN_DA3,29,5,10613,34,0
TPMN2,LgLG5,26,8,10613,34,0
TPMN2,HBeyelet,26,8,10613,34,0
TPMN2,PhG1a,26,8,10613,34,0
R7y,WG4,11,23,10613,34,0
R7y,ORN_D,11,23,10613,34,0
R7p,WG4,11,23,10613,34,0
R7p,ORN_D,11,23,10613,34,0
R7d,JO-A3,13,21,10613,34,0
R7d,ORN_VM6v,13,21,10613,34,0
R7d,SNxx17,13,21,10613,34,0
R7d,ORN_DL2v,13,21,10613,34,0
LgLG6,JO-A3,13,21,10613,34,0
LgLG6,ORN_VM6v,13,21,10613,34,0
LgLG6,SNxx17,13,21,10613,34,0
LgLG6,ORN_DL2v,13,21,10613,34,0
aPhM4,WG1,19,15,10613,34,0
aPhM4,LgAG9,19,15,10613,34,0
aPhM4,ORN_VA1d,19,15,10613,34,0
aPhM4,SNpp57,19,15,10613,34,0
aPhM4,LB1b,19,15,10613,34,0
aPhM4,SNpp12,19,15,10613,34,0
aPhM4,PhG8,19,15,10613,34,0
GNG643,LgLG7,27,7,10613,34,0
GNG643,DNg83,27,7,10613,34,0
GNG643,ORN_DL3,27,7,10613,34,0
GNG643,ORN_DM3,27,7,10613,34,0
HRN_VP4,R8d,31,3,10613,34,0
R8p,WG4,11,23,10613,34,0
R8p,ORN_D,11,23,10613,34,0
aPhM1,ENS3,22,12,10613,34,0
aPhM1,ORN_VM4,22,12,10613,34,0
aPhM1,ENS1,22,12,10613,34,0
aPhM1,PhG13,22,12,10613,34,0
aPhM1,ORN_DC2,22,12,10613,34,0
aPhM1,SNpp37,22,12,10613,34,0
aPhM1,ORN_VC4,22,12,10613,34,0
aPhM1,b2 MN,22,12,10613,34,0
SNxx09,WG4,11,23,10613,34,0
SNxx09,ORN_D,11,23,10613,34,0
LB3b,ORN_VA1v,17,17,10613,34,0
LB3b,JO-A1,17,17,10613,34,0
LB3b,SNpp05,17,17,10613,34,0
LB3b,SNxx28,17,17,10613,34,0
LB3b,ORN_VM5v,17,17,10613,34,0
LB3b,SNpp31,17,17,10613,34,0
LB3b,SNpp17,17,17,10613,34,0
LB3b,SNpp01,17,17,10613,34,0
BM_Vt_PoOc,ENS3,22,12,10613,34,0
BM_Vt_PoOc,ORN_VM4,22,12,10613,34,0
BM_Vt_PoOc,ENS1,22,12,10613,34,0
BM_Vt_PoOc,PhG13,22,12,10613,34,0
BM_Vt_PoOc,ORN_DC2,22,12,10613,34,0
BM_Vt_PoOc,SNpp37,22,12,10613,34,0
BM_Vt_PoOc,ORN_VC4,22,12,10613,34,0
BM_Vt_PoOc,b2 MN,22,12,10613,34,0
GNG644,GNG654,20,14,10613,34,0
GNG644,HRN_VP5,20,14,10613,34,0
GNG644,LB4b,20,14,10613,34,0
GNG644,SNxx24,20,14,10613,34,0
GNG644,ORN_VC5,20,14,10613,34,0
GNG644,PhG4,20,14,10613,34,0
GNG644,SNpp06,20,14,10613,34,0
GNG644,BM_MaPa,20,14,10613,34,0
GNG644,PhG14,20,14,10613,34,0
GNG644,SNpp56,20,14,10613,34,0
GNG644,JO-B2,20,14,10613,34,0
GNG644,JO-B1_c,20,14,10613,34,0
R8y,TRN_VP1m,10,24,10613,34,0
R8y,SNpp02,10,24,10613,34,0
LgLG5,ORN_DM1,8,26,10613,34,0
LgLG5,SNpp10,8,26,10613,34,0
LgLG5,SApp01,8,26,10613,34,0
JO-A3,ORN_DM2,21,13,10613,34,0
JO-A3,DNg20,21,13,10613,34,0
JO-A3,SNxx06,21,13,10613,34,0
JO-A3,SNpp15,21,13,10613,34,0
JO-A3,ORN_DA2,21,13,10613,34,0
JO-A3,PhG16,21,13,10613,34,0
JO-A3,SNpp18,21,13,10613,34,0
JO-A3,LgAG8,21,13,10613,34,0
WG1,LB3a,15,19,10613,34,0
WG1,SNpp35,15,19,10613,34,0
WG1,LgAG5,15,19,10613,34,0
WG1,LgAG7,15,19,10613,34,0
WG1,ORN_DL2d,15,19,10613,34,0
WG1,JO-B1_a,15,19,10613,34,0
WG1,SNta13,15,19,10613,34,0
LgLG2,WG4,11,23,10613,34,0
LgLG2,ORN_D,11,23,10613,34,0
TRN_VP3a,GNG642,18,16,10613,34,0
TRN_VP3a,ORN_V,18,16,10613,34,0
TRN_VP3a,PhG10,18,16,10613,34,0
TRN_VP3a,ORN_VL1,18,16,10613,34,0
TRN_VP3a,LgLG4,18,16,10613,34,0
TRN_VP3a,ORN_VM5d,18,16,10613,34,0
TRN_VP3a,SNpp11,18,16,10613,34,0
TRN_VP3a,ALBN1,18,16,10613,34,0
TRN_VP3a,ENS5,18,16,10613,34,0
TRN_VP3a,dorsal_tpGRN,18,16,10613,34,0
TRN_VP3a,JO-CA2,18,16,10613,34,0
LB3d,LgLG7,27,7,10613,34,0
LB3d,DNg83,27,7,10613,34,0
LB3d,ORN_DL3,27,7,10613,34,0
LB3d,ORN_DM3,27,7,10613,34,0
SNxx02,LgLG7,27,7,10613,34,0
SNxx02,DNg83,27,7,10613,34,0
SNxx02,ORN_DL3,27,7,10613,34,0
SNxx02,ORN_DM3,27,7,10613,34,0
LgLG8,LB3c,9,25,10613,34,0
LgLG8,SNxx26,9,25,10613,34,0
LgLG8,ORN_VA2,9,25,10613,34,0
LB3c,LB4a,25,9,10613,34,0
LB3c,PhG3,25,9,10613,34,0
LB3c,SApp21,25,9,10613,34,0
LB3c,LgAG6,25,9,10613,34,0
LB3c,tpn MN,25,9,10613,34,0
LB3c,JO-B4_a,25,9,10613,34,0
ORN_VM6v,ORN_DM2,21,13,10613,34,0
ORN_VM6v,DNg20,21,13,10613,34,0
ORN_VM6v,SNxx06,21,13,10613,34,0
ORN_VM6v,SNpp15,21,13,10613,34,0
ORN_VM6v,ORN_DA2,21,13,10613,34,0
ORN_VM6v,PhG16,21,13,10613,34,0
ORN_VM6v,SNpp18,21,13,10613,34,0
ORN_VM6v,LgAG8,21,13,10613,34,0
LB3a,LgAG9,19,15,10613,34,0
LB3a,ORN_VA1d,19,15,10613,34,0
LB3a,SNpp57,19,15,10613,34,0
LB3a,LB1b,19,15,10613,34,0
LB3a,SNpp12,19,15,10613,34,0
LB3a,PhG8,19,15,10613,34,0
TRN_VP1m,HRN_VP1l,24,10,10613,34,0
TRN_VP1m,PhG6,24,10,10613,34,0
TRN_VP1m,LN-DN1,24,10,10613,34,0
TRN_VP1m,ORN_DM4,24,10,10613,34,0
TRN_VP1m,ORN_DM6,24,10,10613,34,0
TRN_VP1m,ORN_VA3,24,10,10613,34,0
PhG9,ENS3,22,12,10613,34,0
PhG9,ORN_VM4,22,12,10613,34,0
PhG9,ENS1,22,12,10613,34,0
PhG9,PhG13,22,12,10613,34,0
PhG9,ORN_DC2,22,12,10613,34,0
PhG9,SNpp37,22,12,10613,34,0
PhG9,ORN_VC4,22,12,10613,34,0
PhG9,b2 MN,22,12,10613,34,0
BM_Hau,LgLG7,27,7,10613,34,0
BM_Hau,DNg83,27,7,10613,34,0
BM_Hau,ORN_DL3,27,7,10613,34,0
BM_Hau,ORN_DM3,27,7,10613,34,0
JO-B4_b,LgLG7,27,7,10613,34,0
JO-B4_b,DNg83,27,7,10613,34,0
JO-B4_b,ORN_DL3,27,7,10613,34,0
JO-B4_b,ORN_DM3,27,7,10613,34,0
R8_unclear,WG4,11,23,10613,34,0
R8_unclear,ORN_D,11,23,10613,34,0
WG4,LB1a,23,11,10613,34,0
WG4,SNpp21,23,11,10613,34,0
WG4,ORN_VM7v,23,11,10613,34,0
WG4,ORN_DL1,23,11,10613,34,0
ORN_DM1,HBeyelet,26,8,10613,34,0
ORN_DM1,PhG1a,26,8,10613,34,0
HRN_VP1d,R8d,31,3,10613,34,0
ORN_DC1,ENS3,22,12,10613,34,0
ORN_DC1,ORN_VM4,22,12,10613,34,0
ORN_DC1,ENS1,22,12,10613,34,0
ORN_DC1,PhG13,22,12,10613,34,0
ORN_DC1,ORN_DC2,22,12,10613,34,0
ORN_DC1,SNpp37,22,12,10613,34,0
ORN_DC1,ORN_VC4,22,12,10613,34,0
ORN_DC1,b2 MN,22,12,10613,34,0
GNG642,TRN_VP2,16,18,10613,34,0
